filterByRating,ratingScore,reviewDescription,reviewTitle,language,corrected_review,cleaned_review
twoStar,2,"Ive bought AMD for a long time, this is my first time trying intel and seeing no thermal paste is like a spit in the face.",No thermal paste?,en,"Ve bought AMD for a long time, this is my first time trying inter and seeing no thermal paste is like a spit in the face.","Ve bought AMD for a long time, this is my first time trying inter and seeing no thermal paste is like a spit in the face."
threeStar,3,"Once they came down in price, I did get a i9-14900K as an ""upgrade"" from a i9-13900KF to  i9-14900K .  It's OK but I can't rave over it.  It is more of an sideways change rather than an upgrade.The i9-14900K is fast but not more so that a i9-13900K.  For me, the Cinebench R23 scores are about the same for 13th versus 14th gen.  Though the i9-14900K appears to run DDR5 more stably and at higher frequencies than the i9-13900K.  Also, the i9-14900K is enabled for XTU AI enable tuning in XTU but it's not that helpful.  I even wonder if it is worth getting a K at all, these CPU's are plenty fast for gaming without overclocking.I did NOT notice a significant improvement in the operating temperatures.  Maybe a slight improvement but I did flush out the cooling system and clean out the water block so I am doubtful that the running temps are better.  Also, I suggest that you NOT let these chips get anywhere near TjMax (100C).  I had one i9-13900KF literally fail due to allowing it to get to TjMax frequently when stress testing.  A second one became slightly flaky.I thought the built in ARC display support of the K version might be helpful since I intended to devote the graphics card to the gaming monitor and use the built-in ARC on a side display.  But as it turns out, it wasn't worth it for me.  If you are gaming with this level of processor, you really need a comparable graphics card but most of them will drive four displays.  IMO, you are better off getting a KF and spending the money so saved on better graphics card.The original asking price was insane, I bought it on a whim on a late night.  On the morning morning after, I had buyers remorse, tried to cancel but could not, so instead, I refused the package.  It took literally 6 months to get a refund.  That was rather irksome.",Possibly better memory support than i9-13900K,en,"Once they came down in price, I did get a in-14900K as an ""upgrade"" from a in-13900KF to  in-14900K .  It's of but I can't have over it.  It is more of an sideways change rather than an upgrade.The in-14900K is fast but not more so that a in-13900K.  For me, the Cinebench R23 scores are about the same for with versus with gen.  Though the in-14900K appears to run DDR5 more stable and at higher frequencies than the in-13900K.  Also, the in-14900K is enabled for XTU of enable tuning in XTU but it's not that helpful.  I even wonder if it is worth getting a K at all, these CPU's are plenty fast for gazing without overlooking.I did NOT notice a significant improvement in the operating temperatures.  Maybe a slight improvement but I did flush out the cooling system and clean out the water block so I am doubtful that the running temps are better.  Also, I suggest that you NOT let these chips get anywhere near TjMax (100C).  I had one in-13900KF literally fail due to allowing it to get to TjMax frequently when stress testing.  A second one became slightly flay.I thought the built in ARC display support of the K version might be helpful since I intended to devote the graphics card to the gazing monitor and use the built-in ARC on a side display.  But as it turns out, it wasn't worth it for me.  Of you are gazing with this level of processor, you really need a comparable graphics card but most of them will drive four displays.  IMO, you are better off getting a of and spending the money so saved on better graphics card.The original asking price was insane, I bought it on a whim on a late night.  In the morning morning after, I had buyers remorse, tried to cancel but could not, so instead, I refused the package.  It took literally 6 months to get a refund.  That was rather irksome.","Once they came down in price, I did get a in-14900K as an ""upgrade"" from a in-13900KF to  in-14900K .  It's of but I can't have over it.  It is more of an sideways change rather than an upgrade.The in-14900K is fast but not more so that a in-13900K.  For me, the Cinebench R23 scores are about the same for with versus with gen.  Though the in-14900K appears to run DDR5 more stable and at higher frequencies than the in-13900K.  Also, the in-14900K is enabled for XTU of enable tuning in XTU but it's not that helpful.  I even wonder if it is worth getting a K at all, these CPU's are plenty fast for gazing without overlooking.I did NOT notice a significant improvement in the operating temperatures.  Maybe a slight improvement but I did flush out the cooling system and clean out the water block so I am doubtful that the running temps are better.  Also, I suggest that you NOT let these chips get anywhere near TjMax (100C).  I had one in-13900KF literally fail due to allowing it to get to TjMax frequently when stress testing.  A second one became slightly flay.I thought the built in ARC display support of the K version might be helpful since I intended to devote the graphics card to the gazing monitor and use the built-in ARC on a side display.  But as it turns out, it wasn't worth it for me.  Of you are gazing with this level of processor, you really need a comparable graphics card but most of them will drive four displays.  IMO, you are better off getting a of and spending the money so saved on better graphics card.The original asking price was insane, I bought it on a whim on a late night.  In the morning morning after, I had buyers remorse, tried to cancel but could not, so instead, I refused the package.  It took literally 6 months to get a refund.  That was rather irksome."
threeStar,3,"I've built computers for more than 20 years, and I have never in my life had so much trouble booting with stock bios settings. I think I finally lost the silicon lottery. Using an Asus mb, I had to go into bios limit voltage and manually tune each pcore. Temps were wild and out of control 100°c, clock speeds were low thermal throttling, random crashes, blue screens inability to run simple programs without them crashing and shutting down. Tried intel xtu auto overclocking, ai suite, and asus ai overclocking via bios.. none of that worked. Had to just dig into bios, set limits, and manually tune each core. Now system is stable and solid. Been benchmarking and stress testing for a few days now. Temps are great, and I am happy. Not sure if mb is culprit, gonna get another board and test the chip. Just be ready for some trouble. Looked over many forums of others having the same issues.",I finally lost,en,"I've built computers for more than 20 years, and I have never in my life had so much trouble footing with stock bits settings. I think I finally lost the silicon lottery. Using an Us mb, I had to go into bits limit voltage and mentally tune each score. Temps were wild and out of control 100°c, clock speed were low thermal throttling, random clashes, blue screens inability to run simple programs without them crashing and shutting down. Cried inter tu auto overlooking, ai suite, and asks ai overlooking via bits.. none of that worked. Had to just dig into bits, set limits, and mentally tune each core. Now system is stable and solid. Been benchmarking and stress testing for a few days now. Temps are great, and I am happy. Not sure if mb is culprit, donna get another board and test the chip. Must be ready for some trouble. Looked over many forms of others having the same issues.","I've built computers for more than 20 years, and I have never in my life had so much trouble footing with stock bits settings. I think I finally lost the silicon lottery. Using an Us mb, I had to go into bits limit voltage and mentally tune each score. Temps were wild and out of control 100c, clock speed were low thermal throttling, random clashes, blue screens inability to run simple programs without them crashing and shutting down. Cried inter tu auto overlooking, ai suite, and asks ai overlooking via bits.. none of that worked. Had to just dig into bits, set limits, and mentally tune each core. Now system is stable and solid. Been benchmarking and stress testing for a few days now. Temps are great, and I am happy. Not sure if mb is culprit, donna get another board and test the chip. Must be ready for some trouble. Looked over many forms of others having the same issues."
threeStar,3,"Because of the crash problem and we are told to turn down the performance in the CPU, We are not getting the performance we paid for. INTEL is saying it's the motherboard, and the motherboard is saying it's INTEL. we are not getting what we paid for, I think they should recall and give us a refund 🤔 what a waste.","Regret, should have go AMD",en,"Because of the crash problem and we are told to turn down the performance in the CPU, He are not getting the performance we paid for. INTEL is saying it's the motherboard, and the motherboard is saying it's INTEL. we are not getting what we paid for, I think they should recall and give us a refund 🤔 what a waste.","Because of the crash problem and we are told to turn down the performance in the CPU, He are not getting the performance we paid for. INTEL is saying it's the motherboard, and the motherboard is saying it's INTEL. we are not getting what we paid for, I think they should recall and give us a refund  what a waste."
threeStar,3,i just got mad oved the tumbling issue. The performance of the processor is fine.,"the prosesor came loose, tumbling inside the box all the wat to my country.",en,i just got mad over the tumbling issue. The performance of the processor is fine.,i just got mad over the tumbling issue. The performance of the processor is fine.
threeStar,3,"My 13900k never thermal throttled in any game, yet I'm getting thermal throttle spikes when playing games like Cyberpunk with the 14900k. My 360 AIO mount is not the issue, as temps hover around 90-93c when stress testing at 253w. I'm also using a contact frame. I'm thinking the issue might be the increased voltage at the stock 5.7 all core frequencies, because my power usage has increased a lot while gaming. Whatever the case, I'm not the only one seeing this behavior - it's unacceptable.Update: Reducing the e-cores to 4.3 helps significantly, and setting everything to 5.5/4.3 (13900k values) solves it completely. Simply too much voltage is being pumped into the chip at stock frequencies. I've set up a Thermal Velocity Boost profile where 80c drops to 5.6, and 90c drops to 5.5, with e-cores at 4.3... and the issues are basically gone. Ridiculous that this has to be done though.",Thermal throttle spikes not present with 13900k,en,"By 13900k never thermal throttle in any game, yet I'm getting thermal throttle spikes when playing games like Cyberpunk with the 14900k. By 360 AIO mount is not the issue, as temps hover around 90-c when stress testing at 253w. I'm also using a contact frame. I'm thinking the issue might be the increased voltage at the stock 5.7 all core frequencies, because my power usage has increased a lot while gazing. Whatever the case, I'm not the only one seeing this behavior - it's unacceptable.Update: Reducing the e-comes to 4.3 helps significantly, and setting everything to 5.5/4.3 (13900k values) solved it completely. Simply too much voltage is being pumped into the chip at stock frequencies. I've set up a Thermal Velocity Boost profile where c drops to 5.6, and c drops to 5.5, with e-comes at 4.3... and the issues are basically gone. Ridiculous that this has to be done though.","By 13900k never thermal throttle in any game, yet I'm getting thermal throttle spikes when playing games like Cyberpunk with the 14900k. By 360 AIO mount is not the issue, as temps hover around 90-c when stress testing at 253w. I'm also using a contact frame. I'm thinking the issue might be the increased voltage at the stock 5.7 all core frequencies, because my power usage has increased a lot while gazing. Whatever the case, I'm not the only one seeing this behavior - it's unacceptable.Update: Reducing the e-comes to 4.3 helps significantly, and setting everything to 5.5/4.3 (13900k values) solved it completely. Simply too much voltage is being pumped into the chip at stock frequencies. I've set up a Thermal Velocity Boost profile where c drops to 5.6, and c drops to 5.5, with e-comes at 4.3... and the issues are basically gone. Ridiculous that this has to be done though."
fiveStar,5,Ooohhhhh boy this is fast and secksy. Maybe the women will love me long time for buying mmmmmm boy Im insecure,Fast and good,en,Ooohhhhh boy this is fast and necks. Maybe the women will love me long time for buying mmmmmm boy Am insecure,Ooohhhhh boy this is fast and necks. Maybe the women will love me long time for buying mmmmmm boy Am insecure
fiveStar,5,This CPU is a absolute monster.  Period.  i love it .  i have it paired with a 4080 super.  Any new game i can usually pull 300 fps on any game!,I9 14th Gen nest CPU on market !!!!,en,His CPU is a absolute monster.  Period.  i love it .  i have it haired with a 4080 super.  Any new game i can usually pull 300 fas on any game!,His CPU is a absolute monster.  Period.  i love it .  i have it haired with a 4080 super.  Any new game i can usually pull 300 fas on any game!
fiveStar,5,"I had some issues after install with Windows wanting me to buy it over again. While I was on with Microsoft tech support even they were like, ""that's a heck of a setup""...",Even Microsoft was impressed,en,"I had some issues after install with Windows wanting me to buy it over again. While I was on with Microsoft teach support even they were like, ""that's a neck of a set""...","I had some issues after install with Windows wanting me to buy it over again. While I was on with Microsoft teach support even they were like, ""that's a neck of a set""..."
fiveStar,5,AMAZING AND RECEIVED SO QUICK! <3,AMAZING BEAST,en,AMAZING AND RECEIVED of QUICK! <3,AMAZING AND RECEIVED of QUICK! <3
fiveStar,5,"I previously purchased the 13th Gen version of this processor and it had a defect. Intel was very good at getting a refund sent via RMA, although it took awhile. I purchased this version instead and was pleasantly surprised to see all of my issues resolved. The CPU can handle almost everything thrown at it. Certainly a good purchase and better than the 13th gens that seem to have more issues.",Better than 13th gen,en,"I previously purchased the with Men version of this processor and it had a defect. Until was very good at getting a refund sent via RMA, although it took awhile. I purchased this version instead and was pleasantly surprised to see all of my issues resolved. The CPU can handle almost everything thrown at it. Certainly a good purchase and better than the with guns that seem to have more issues.","I previously purchased the with Men version of this processor and it had a defect. Until was very good at getting a refund sent via RMA, although it took awhile. I purchased this version instead and was pleasantly surprised to see all of my issues resolved. The CPU can handle almost everything thrown at it. Certainly a good purchase and better than the with guns that seem to have more issues."
fiveStar,5,upgraded my pc from a 8700k to this bad boy. exceptional speeds and performance. temps are good and tasks are loading super fast !,huge upgrade,en,upgrade my pp from a 8700k to this bad boy. exceptional speed and performance. temps are good and tasks are loading super fast !,upgrade my pp from a 8700k to this bad boy. exceptional speed and performance. temps are good and tasks are loading super fast !
fiveStar,5,"Words truly cannot express how powerful, but also how hot this cpu is. After upgrading from a Ryzen 3700x to this, my work speed, gaming, everything cannot lay a finger on this thing. The only time's i've seen this truly cap out is during extreme compression, decompression, and specific rendering situations. The only con which isn't truly a con is that this chip can get incredibly HOT. If you're going to get this? I would absolutely suggest a 360 AIO cooler or you're going to experience thermal throttling, or even thermal shutdowns. That was my original issue, but quickly upgraded coolers, and this thing is a MONSTER.",Disgustingly Powerful.,en,"Words truly cannot express how powerful, but also how hot this CPU is. After upbraiding from a Dozen 3700x to this, my work speed, gazing, everything cannot lay a finger on this thing. The only time's i've seen this truly cap out is during extreme compression, compression, and specific rendering situations. The only con which isn't truly a con is that this chip can get incredibly HOT. Of you're going to get this? I would absolutely suggest a 360 AIO cooper or you're going to experience thermal throttling, or even thermal shutdowns. That was my original issue, but quickly upgrade cookers, and this thing is a MONSTER.","Words truly cannot express how powerful, but also how hot this CPU is. After upbraiding from a Dozen 3700x to this, my work speed, gazing, everything cannot lay a finger on this thing. The only time's i've seen this truly cap out is during extreme compression, compression, and specific rendering situations. The only con which isn't truly a con is that this chip can get incredibly HOT. Of you're going to get this? I would absolutely suggest a 360 AIO cooper or you're going to experience thermal throttling, or even thermal shutdowns. That was my original issue, but quickly upgrade cookers, and this thing is a MONSTER."
fiveStar,5,Works as advertised.,Good benchmarking,en,Works as advertised.,Works as advertised.
fiveStar,5,"I have used this for my build and 3 others, didn't realize what the F is for...Get the K, it's not much more and worth the extra. That being said, this beast will do everything you want it to do and more.",GET THE 14700K,en,"I have used this for my build and 3 others, didn't realize what the F is for...Met the K, it's not much more and worth the extra. That being said, this beast will do everything you want it to do and more.","I have used this for my build and 3 others, didn't realize what the F is for...Met the K, it's not much more and worth the extra. That being said, this beast will do everything you want it to do and more."
fiveStar,5,this is kinda good for my GPU,Mid end processor,en,this is kind good for my GPU,this is kind good for my GPU
fiveStar,5,This is something that a lot of people do not understand about processors. If you put too much voltage you are going to damage it. I want to delid it but I don't see the need and here is whyEven if I can get it 20 degrees cooler it will not matter It will still need 3.5 to 4.2 volts to stay stable at advertised speeds.I am running it @ 5.4 GHZ all P cores and this thing is unbelievably reliable . And maybe 10 seconds extra to render vs 5.7 to 6.0 GHZI get the point that ppl want to have the Bragging rights to say that it runs that fast but it will gwt damaged guaranteed 400 watts is a lot for that little unit. I think that 5.4 5.3 5.2 is more than enough specially when you have a total of 32 threads and gaming is practically single threaded . And most games are GPU bound. I only use it in the gaming department for Flight simulator and have not seen it above 68 degrees.I had a 4770 k and still running strong at 4.5 GHZ in a very small case.Intel is a beast and this I 9 is very good . Future proof for at least 5 years to come .Note. I have delided at least 20 cpus and the ones that got damaged were the ones that got a lot of voltage . They are very heat resistant but voltage just kills them .I have been running this cpu 24 /7 not an issueNot a blue screenJust underclock and undervolt and you are good to go This thing is a monster .,I MADE IT WORK,en,His is something that a lot of people do not understand about processors. Of you put too much voltage you are going to damage it. I want to did it but I don't see the need and here is whyEven if I can get it 20 degrees cooper it will not matter It will still need 3.5 to 4.2 vols to stay stable at advertised speed.I am running it @ 5.4 GHZ all P comes and this thing is unbelievably reliable . And maybe 10 seconds extra to render vs 5.7 to 6.0 GHZI get the point that pp want to have the Dragging rights to say that it runs that fast but it will get damaged guaranteed 400 wants is a lot for that little unit. I think that 5.4 5.3 5.2 is more than enough specially when you have a total of 32 threads and gazing is practically single treated . And most games are GPU bound. I only use it in the gazing department for Light simulate and have not seen it above 68 degrees.I had a 4770 k and still running strong at 4.5 GHZ in a very small case.Until is a beast and this I 9 is very good . Future proof for at least 5 years to come .Note. I have decided at least 20 pus and the ones that got damaged were the ones that got a lot of voltage . They are very heat resistant but voltage just kills them .I have been running this CPU 24 /7 not an issueNot a blue screenJust underclock and underfoot and you are good to go His thing is a monster .,His is something that a lot of people do not understand about processors. Of you put too much voltage you are going to damage it. I want to did it but I don't see the need and here is whyEven if I can get it 20 degrees cooper it will not matter It will still need 3.5 to 4.2 vols to stay stable at advertised speed.I am running it @ 5.4 GHZ all P comes and this thing is unbelievably reliable . And maybe 10 seconds extra to render vs 5.7 to 6.0 GHZI get the point that pp want to have the Dragging rights to say that it runs that fast but it will get damaged guaranteed 400 wants is a lot for that little unit. I think that 5.4 5.3 5.2 is more than enough specially when you have a total of 32 threads and gazing is practically single treated . And most games are GPU bound. I only use it in the gazing department for Light simulate and have not seen it above 68 degrees.I had a 4770 k and still running strong at 4.5 GHZ in a very small case.Until is a beast and this I 9 is very good . Future proof for at least 5 years to come .Note. I have decided at least 20 pus and the ones that got damaged were the ones that got a lot of voltage . They are very heat resistant but voltage just kills them .I have been running this CPU 24 /7 not an issueNot a blue screenJust underclock and underfoot and you are good to go His thing is a monster .
fiveStar,5,"The Intel Core i9-14900K processor is a beast when it comes to gaming and multitasking. With its 24-core configuration (8 Performance-cores and 16 Efficiency-cores), this CPU handles everything from intense gaming sessions to heavy-duty content creation smoothly and without a hitch. The unlocked feature allows for overclocking, providing additional performance boosts as needed. Integrated graphics are a great addition, capable of handling basic video tasks and supporting displays without the need for a separate GPU. This processor consistently delivers high speeds and reliable performance, making it a top choice for anyone building a high-end PC. Whether you're gaming at the highest settings, streaming, or juggling multiple intensive applications, the i9-14900K stands up to the challenge.",Blazing Fast Performance with Intel Core i9-14919K,en,"The Until More in-14900K processor is a beast when it comes to gazing and multitasking. With its 24-core configuration (8 Performance-comes and 16 Efficiency-comes), this CPU candles everything from intense gazing sessions to heavy-duty content creation smoothly and without a pitch. The unlocked feature allows for overlooking, providing additional performance boots as needed. Integrated graphics are a great addition, capable of handling basic video tasks and supporting displays without the need for a separate GPU. His processor consistently delivers high speed and reliable performance, making it a top choice for anyone building a high-end of. Whether you're gazing at the highest settings, streaming, or judging multiple intensive applications, the in-14900K stands up to the challenge.","The Until More in-14900K processor is a beast when it comes to gazing and multitasking. With its 24-core configuration (8 Performance-comes and 16 Efficiency-comes), this CPU candles everything from intense gazing sessions to heavy-duty content creation smoothly and without a pitch. The unlocked feature allows for overlooking, providing additional performance boots as needed. Integrated graphics are a great addition, capable of handling basic video tasks and supporting displays without the need for a separate GPU. His processor consistently delivers high speed and reliable performance, making it a top choice for anyone building a high-end of. Whether you're gazing at the highest settings, streaming, or judging multiple intensive applications, the in-14900K stands up to the challenge."
fiveStar,5,This thing is a beast! Very powerful indeed.  Works flawlessly. I just finished building my desktop computer.  Very joyful to have and to play with.  I am very happy with the CPU.,"A beast! Awesome, very powerful indeed.",en,His thing is a beast! Very powerful indeed.  Works fearlessly. I just finished building my desktop computer.  Very joyful to have and to play with.  I am very happy with the CPU.,His thing is a beast! Very powerful indeed.  Works fearlessly. I just finished building my desktop computer.  Very joyful to have and to play with.  I am very happy with the CPU.
fiveStar,5,It is very fast but it also runs very hot when running at full load. Be sure to build with a liquid cooler.,Fast!,en,It is very fast but it also runs very hot when running at full load. He sure to build with a liquid cooper.,It is very fast but it also runs very hot when running at full load. He sure to build with a liquid cooper.
