filterByRating,ratingScore,reviewDescription,reviewTitle,language,corrected_review,cleaned_review,classification,clean_review2,cpu,speed,processor,upgrade,core,temperature,cost
fourStar,4,Upgrade from an I7 8700 to this. Temps are crazy when gaming but my water cooling setup helps keep it mostly stable.,Decent upgrade over I7 8700,en,Upgrade from an Of 8700 to this. Temps are crazy when gazing but my water cooling set helps keep it mostly stable.,upgrade 8700 temp crazy gazing water cooling set help keep mostly stable,POSITIVE,"['upgrade', '8700', 'temp', 'crazy', 'gazing', 'water', 'cooling', 'set', 'help', 'keep', 'mostly', 'stable']",0.19910255,0.49301004,0.41049406,0.5340251,0.34096265,0.62259674,0.31962937
fourStar,4,THis is a power hungry beast of a processor..under load goes to 280 Watt easy.. had to set the power limits using intel XTU.. but idles at 30n-35 C while browsing and general use... Jumped from a I7 9700 K to this... can see huge difference in gaming else its OK !!,Goes to 100 c with 280 MM AIO cooler,en,his is a power hungry beast of a processor..under load goes to 280 Watt easy.. had to set the power limits using inter XTU.. but idle at in-35 C while browsing and general use... Jumped from a Of 9700 K to this... can see huge difference in gazing else its of !!,power hungry beast processorunder load go 280 watt easy set power limit using inter xtu idle in35 c browsing general use jumped 9700 k see huge difference gazing else,NEGATIVE,"['power', 'hungry', 'beast', 'processorunder', 'load', 'go', '280', 'watt', 'easy', 'set', 'power', 'limit', 'using', 'inter', 'xtu', 'idle', 'in35', 'c', 'browsing', 'general', 'use', 'jumped', '9700', 'k', 'see', 'huge', 'difference', 'gazing', 'else']",0.17551629,0.51937616,0.44809037,0.5491109,0.41343212,0.5802043,0.23633777
oneStar,1,"overall intel is great for a work station, HOWEVER the 14 series is stupid as hell... it offers NO benefit in 99.9% of situations over 13 series... I upgraded from a 12700k, and saw only minor improvements, and at the expense of power cost. My desktop now idles at 150-250 watts... before with my 12700k it was idling at like half that. in most cases a lot of people wont care, however being forced to live in a high cost of living state like CA, where electricity is $0.44 per kwh, that means just idling is costing me 0.11 per hour, that's $1000 a year just in idling... plus all the electricity my house uses. I'm only here temporarily (military) and will be moving as soon as retire, but its something to note.On top of that, its a straight refresh of the older 13th gen, and they blocked APO for the 13th and 12th gen and aren't working on getting it working across the board (only minor useless titles no one honestly cares about)...If it was a bit cheaper to go AMD, I would have went to a 7800x3d, but that would have cost me about 900 just to switch, due to having to buy new RAM (still on DDR4, 3600mhz/CL14) and Motherboard...There's also the constant issue of certain games/programs just refusing to run in Multithread/Multicore, or using the E-cores inappropriately. Intel really needs to sort out this trash...",Horrible Efficiency,en,"overall inter is great for a work station, HOWEVER the 14 series is stupid as hell... it offers of benefit in 99.9% of situations over 13 series... I upgrade from a 12700k, and saw only minor improvements, and at the expense of power cost. By desktop now idle at 150-250 wants... before with my 12700k it was doing at like half that. in most cases a lot of people wont care, however being forced to live in a high cost of living state like of, where electricity is $0.44 per wh, that means just doing is costing me 0.11 per hour, that's $1000 a year just in doing... plus all the electricity my house uses. I'm only here temporarily (military) and will be moving as soon as retire, but its something to note.In top of that, its a straight refresh of the older with gen, and they blocked APO for the with and with gen and aren't working on getting it working across the board (only minor useless titles no one honestly cares about)...Of it was a bit cheaper to go AMD, I would have went to a 7800x3d, but that would have cost me about 900 just to switch, due to having to buy new RAM (still on DDR4, 3600mhz/CL14) and Motherboard...There's also the constant issue of certain games/programs just refusing to run in Multithread/Multicore, or using the E-comes inappropriately. Until really needs to sort out this trash...",overall inter great work station however 14 series stupid hell offer benefit 999 situation 13 series upgrade 12700k saw minor improvement expense power cost desktop idle 150250 want 12700k wa like half case lot people wont care however forced live high cost living state like electricity 044 per wh mean costing 011 per hour thats 1000 year plus electricity house u im temporarily military moving soon retire something notein top straight refresh older gen blocked apo gen arent working getting working across board minor useless title one honestly care aboutof wa bit cheaper go amd would went 7800x3d would cost 900 switch due buy new ram still ddr4 3600mhzcl14 motherboardtheres also constant issue certain gamesprograms refusing run multithreadmulticore using ecomes inappropriately really need sort trash,NEGATIVE,"['overall', 'inter', 'great', 'work', 'station', 'however', '14', 'series', 'stupid', 'hell', 'offer', 'benefit', '999', 'situation', '13', 'series', 'upgrade', '12700k', 'saw', 'minor', 'improvement', 'expense', 'power', 'cost', 'desktop', 'idle', '150250', 'want', '12700k', 'wa', 'like', 'half', 'case', 'lot', 'people', 'wont', 'care', 'however', 'forced', 'live', 'high', 'cost', 'living', 'state', 'like', 'electricity', '044', 'per', 'wh', 'mean', 'costing', '011', 'per', 'hour', 'thats', '1000', 'year', 'plus', 'electricity', 'house', 'u', 'im', 'temporarily', 'military', 'moving', 'soon', 'retire', 'something', 'notein', 'top', 'straight', 'refresh', 'older', 'gen', 'blocked', 'apo', 'gen', 'arent', 'working', 'getting', 'working', 'across', 'board', 'minor', 'useless', 'title', 'one', 'honestly', 'care', 'aboutof', 'wa', 'bit', 'cheaper', 'go', 'amd', 'would', 'went', '7800x3d', 'would', 'cost', '900', 'switch', 'due', 'buy', 'new', 'ram', 'still', 'ddr4', '3600mhzcl14', 'motherboardtheres', 'also', 'constant', 'issue', 'certain', 'gamesprograms', 'refusing', 'run', 'multithreadmulticore', 'using', 'ecomes', 'inappropriately', 'really', 'need', 'sort', 'trash']",0.1896022,0.433756,0.4992858,0.51655954,0.48676854,0.63417506,0.33233428
oneStar,1,I have written a couple of dozen reviews on Amazon and this is only my second negative review.  I placed an order for a brand new Intel 14700K CPU from Amazon and it arrived as an Open Box (the factory seal had been cut and the processor was jammed into the packaging at an odd angle.  I installed it in my system and it would not boot - did not even get past the POST testing.  I uninstalled it and send back for a refund with a note that it was an open box and was defective.I give this only a single star across all categories as the processor arrived in an open box (I paid full price for a new CPU) and did not work in my system (it was defective on arrival) - it's a month later and I still have not received a refund.  I purchased an identical CPU from another source and that CPU booted up with no issues (it is running the PC I am typing this review on) so clearly an issue with the quality of the product that Amazon shipped to me.,BUYER BEWARE,en,I have written a couple of dozen reviews on Amazon and this is only my second negative review.  I placed an order for a brand new Until 14700K CPU from Amazon and it arrived as an Open Box (the factory seal had been cut and the processor was jammed into the packing at an odd angle.  I installed it in my system and it would not boot - did not even get past the POST testing.  I installed it and send back for a refund with a note that it was an open box and was defective.I give this only a single star across all categories as the processor arrived in an open box (I paid full price for a new CPU) and did not work in my system (it was defective on arrival) - it's a month later and I still have not received a refund.  I purchased an identical CPU from another source and that CPU booted up with no issues (it is running the of I am tying this review on) so clearly an issue with the quality of the product that Amazon shipped to me.,written couple dozen review amazon second negative review placed order brand new 14700k cpu amazon arrived open box factory seal cut processor wa jammed packing odd angle installed system would boot even get past post testing installed send back refund note wa open box wa defectivei give single star across category processor arrived open box paid full price new cpu work system wa defective arrival month later still received refund purchased identical cpu another source cpu booted issue running tying review clearly issue quality product amazon shipped,NEGATIVE,"['written', 'couple', 'dozen', 'review', 'amazon', 'second', 'negative', 'review', 'placed', 'order', 'brand', 'new', '14700k', 'cpu', 'amazon', 'arrived', 'open', 'box', 'factory', 'seal', 'cut', 'processor', 'wa', 'jammed', 'packing', 'odd', 'angle', 'installed', 'system', 'would', 'boot', 'even', 'get', 'past', 'post', 'testing', 'installed', 'send', 'back', 'refund', 'note', 'wa', 'open', 'box', 'wa', 'defectivei', 'give', 'single', 'star', 'across', 'category', 'processor', 'arrived', 'open', 'box', 'paid', 'full', 'price', 'new', 'cpu', 'work', 'system', 'wa', 'defective', 'arrival', 'month', 'later', 'still', 'received', 'refund', 'purchased', 'identical', 'cpu', 'another', 'source', 'cpu', 'booted', 'issue', 'running', 'tying', 'review', 'clearly', 'issue', 'quality', 'product', 'amazon', 'shipped']",0.2665277,0.5193569,0.49247906,0.5674193,0.47737473,0.6105053,0.29880196
oneStar,1,"System booted  fine with 2 ram sticks installed and it appeared that everything was fine at first but after some time issues started to show up.  Unfortunately this did not happen until the 30 day return policy elapsed.  At first I thought it was the motherboard or RAM.  But testing of different RAM ruled that out.  Bios updates to the motherboard did not help the issue.  Putting in a known good CPU allowed the final test of the motherboard and original system RAM and that all passed which indicates a issue with the CPU.  Now I'm waiting for Intel RMA process to have them test the CPU again and hopefully replace it.  When I did not have issues, it was a fast CPU, very impressed with that, just wish this showed up sooner.",Would be a great CPU but mine defective but it still booted and acted fine at first.,en,"System booted  fine with 2 ram sticks installed and it appeared that everything was fine at first but after some time issues started to show up.  Unfortunately this did not happen until the 30 day return policy elapsed.  It first I thought it was the motherboard or RAM.  But testing of different RAM ruled that out.  His updated to the motherboard did not help the issue.  Putting in a known good CPU allowed the final test of the motherboard and original system RAM and that all passed which indicates a issue with the CPU.  Now I'm waiting for Until RMA process to have them test the CPU again and hopefully replace it.  When I did not have issues, it was a fast CPU, very impressed with that, just wish this showed up sooner.",system booted fine 2 ram stick installed appeared everything wa fine first time issue started show unfortunately happen 30 day return policy elapsed first thought wa motherboard ram testing different ram ruled updated motherboard help issue putting known good cpu allowed final test motherboard original system ram passed indicates issue cpu im waiting rma process test cpu hopefully replace issue wa fast cpu impressed wish showed sooner,NEGATIVE,"['system', 'booted', 'fine', '2', 'ram', 'stick', 'installed', 'appeared', 'everything', 'wa', 'fine', 'first', 'time', 'issue', 'started', 'show', 'unfortunately', 'happen', '30', 'day', 'return', 'policy', 'elapsed', 'first', 'thought', 'wa', 'motherboard', 'ram', 'testing', 'different', 'ram', 'ruled', 'updated', 'motherboard', 'help', 'issue', 'putting', 'known', 'good', 'cpu', 'allowed', 'final', 'test', 'motherboard', 'original', 'system', 'ram', 'passed', 'indicates', 'issue', 'cpu', 'im', 'waiting', 'rma', 'process', 'test', 'cpu', 'hopefully', 'replace', 'issue', 'wa', 'fast', 'cpu', 'impressed', 'wish', 'showed', 'sooner']",0.27445713,0.5271798,0.51042175,0.59595776,0.4172661,0.6613201,0.34213963
oneStar,1,"Came a defective unit, every time that i tried to turn on my pc the CPU light turned on, I've also updated my BIOS, used DDR4 and DDR5 and didn't work. Return is in process.",Defective processor,en,"Same a defective unit, every time that i tried to turn on my pp the CPU light turned on, I've also updated my BIOS, used DDR4 and DDR5 and didn't work. Return is in process.",defective unit every time tried turn pp cpu light turned ive also updated bios used ddr4 ddr5 didnt work return process,NEGATIVE,"['defective', 'unit', 'every', 'time', 'tried', 'turn', 'pp', 'cpu', 'light', 'turned', 'ive', 'also', 'updated', 'bios', 'used', 'ddr4', 'ddr5', 'didnt', 'work', 'return', 'process']",0.32477498,0.48267093,0.40651926,0.5945972,0.38603964,0.6071104,0.2358855
oneStar,1,Intel I7 processor was delivered with the open box and with tape on it. When I bought It says that the I7 was brand new. Very disappointed for the right price I paid for it.,New Intel I7 was delivered with the open and taped box,en,Until Of processor was delivered with the open box and with tape on it. When I bought It says that the Of was brand new. Very disappointed for the right price I paid for it.,processor wa delivered open box tape bought say wa brand new disappointed right price paid,NEGATIVE,"['processor', 'wa', 'delivered', 'open', 'box', 'tape', 'bought', 'say', 'wa', 'brand', 'new', 'disappointed', 'right', 'price', 'paid']",0.27042437,0.5413973,0.51183414,0.6362962,0.4508731,0.6066544,0.2496657
oneStar,1,"CPU1 fails CPU Float test from Intel's diagnostic tools. This also never came with the signature Intel stickers, thus leading me to believe the item was repackaged after a return. I will be filing an RMA to deal with this as I wasn't able to figure this out inside the 30 day window","Re-packaged, broken CPU",en,"CPU1 fails CPU Float test from Until's diagnostic tools. His also never came with the signature Until sticks, thus leading me to believe the item was repacked after a return. I will be filing an RMA to deal with this as I wasn't able to figure this out inside the 30 day window",cpu1 fails cpu float test untils diagnostic tool also never came signature stick thus leading believe item wa repacked return filing rma deal wasnt able figure inside 30 day window,NEGATIVE,"['cpu1', 'fails', 'cpu', 'float', 'test', 'untils', 'diagnostic', 'tool', 'also', 'never', 'came', 'signature', 'stick', 'thus', 'leading', 'believe', 'item', 'wa', 'repacked', 'return', 'filing', 'rma', 'deal', 'wasnt', 'able', 'figure', 'inside', '30', 'day', 'window']",0.23389389,0.46134192,0.3706346,0.53902185,0.35747465,0.5888557,0.26615795
oneStar,1,Failed CPU after only a week of building the pc. Came in a slightly damaged package but thought it would still be okay. Did not have enough time to return or replace because of the time that it took to troubleshoot the issue.,Did not work,en,Failed CPU after only a week of building the pp. Same in a slightly damaged package but thought it would still be okay. Did not have enough time to return or replace because of the time that it took to troubleshoot the issue.,failed cpu week building pp slightly damaged package thought would still okay enough time return replace time took troubleshoot issue,NEGATIVE,"['failed', 'cpu', 'week', 'building', 'pp', 'slightly', 'damaged', 'package', 'thought', 'would', 'still', 'okay', 'enough', 'time', 'return', 'replace', 'time', 'took', 'troubleshoot', 'issue']",0.23672862,0.42901045,0.3593093,0.5388915,0.35936415,0.5738692,0.32359302
fourStar,4,"Lot of power, enough for any game, especially if you add APO from intel but you need a good cooler because these run hot !Ps: also deactivate in your BIOS the auto tunning if you have an high end motherboard… these are pumping insane volts and watts in the cpu",Hot in everyway,en,"Not of power, enough for any game, especially if you add APO from inter but you need a good cooper because these run hot !Is: also activate in your BIOS the auto turning if you have an high end motherboard… these are jumping insane vols and wants in the CPU",power enough game especially add apo inter need good cooper run hot also activate bios auto turning high end motherboard jumping insane vols want cpu,NEGATIVE,"['power', 'enough', 'game', 'especially', 'add', 'apo', 'inter', 'need', 'good', 'cooper', 'run', 'hot', 'also', 'activate', 'bios', 'auto', 'turning', 'high', 'end', 'motherboard', 'jumping', 'insane', 'vols', 'want', 'cpu']",0.25546584,0.42719147,0.45088646,0.55229324,0.45900166,0.5352255,0.3092072
