country,date,ratingScore,language,stemmed_review,sentiment,month_year,year
United Kingdom,2024-01-17,5,en,i'v own expens cpu - amd dozen 9 13900k. case overal ran hot high wastage! work offload everyth gpu beastli cpu waste.i'v downgrad cpu main desktop fig. great product softwar (music design work) well gazing. hair rtx 4000 seri card notic signific drop frame rate whilst gazing. (mayb 1-5 fps) game max monitor' 144hz/fp 1440p.one differ thing cpu offer 6 perform come (with 12 thread - hyperthreading) low lower effici comes. (they realli need captor anyway save batteri power!)th cpu also effici run quit cool. line c idl 26-30 light task brows web. gaze - temp usual mid was. benchmark (such cinebench geekbench etc) reach mid was. use two-fan deepcool as500 plu air cooper three case 120mm fan.al - happi purchas highli recommend! :),1,2024-01,2024
France,2024-05-24,5,en,top,1,2024-05,2024
Germany,2024-05-06,5,en,like,0,2024-05,2024
United Kingdom,2023-12-23,5,en,"good singl thread perform 6 come 12 threads. rel low power @now suitabl silent of, much lower price point code cpu (now).",1,2023-12,2023
India,2023-11-30,5,en,"cheapest price 10250r sale. bit worri get slam sinc processor never sold low price, guess luck. perform good expect",1,2023-11,2023
India,2023-12-27,5,en,"king price-to-perform ratio.hair 1660s, game give 90-100 fp high settings.",1,2023-12,2023
India,2023-11-03,5,en,like processors. found like it. work like charm. overlook test it.overal great product,1,2023-11,2023
India,2023-11-05,5,en,use processor gigabyt motherboard work properli 2.5 go speed 12 logic processor work properli,1,2023-11,2023
India,2022-04-20,5,en,"product good packag .I hair cup 590 16 ram 3200 mhz,of look budget gazing, excellent.nam benchmark:assassin' creed unity: 80 fa high setting.apex legends: 144+ fa ultra settingspubg steam: 110 fas, high settingsth cup hemp goe 67c max intens gameplay 5-6 hours, make sure put heat correctly. stock cooper enough.i use si h610m-g motherboard, stock cooper give enough room ram sticksmak sure pu least 500 watt.",1,2022-04,2022
India,2023-10-17,5,en,"receiv good condition, good pack got 11900 valu money beast .",1,2023-10,2023
India,2023-10-21,5,en,good product,1,2023-10,2023
India,2023-07-05,5,en,valu money,0,2023-07,2023
India,2023-04-16,5,en,game gtx 1650gta V ultra avg 90fpspubg ultra avg 120+fp,0,2023-04,2023
India,2022-09-08,5,en,excel budget gaze processor... valu moneyth stock cooper waste.. letter get one extern cooper coolermast corsair deepcool,1,2022-09,2022
United Kingdom,2024-05-22,5,en,ought new build doing. perform great price run cool use stock cooper came with.to hesit recommend qualiti perform vers price,1,2024-05,2024
Australia,2022-10-12,5,en,well snuff said works. 5 star sir,0,2022-10,2022
United Kingdom,2023-04-26,5,en,"game like keep reason date inter cup fit bill me. fast work well motherboard. reason price does, cooper provid ok need well get bit noisi cup remain high % time. overal happi processor.",1,2023-04,2023
Germany,2024-06-08,5,en,use cup first ever pp build pare 3050 go eagl edit work togeth great,1,2024-06,2024
United Kingdom,2024-05-12,5,en,realli like deliv care time. import part. time deliv less day. like qualiti say best 7.5 / 10 hope came cooper money cut aunt keep didnt left spent 100 quid that. hope,1,2024-05,2024
United Kingdom,2023-12-13,5,en,"go top end 1080p build review Id read, 12400f seem like best option. easi instal. cool fan although chose use bigger air cooper.",1,2023-12,2023
Spain,2023-07-22,4,en,top,1,2023-07,2023
United Kingdom,2023-01-23,4,en,10/10 money. stock cooper problem get loud normal temp 55-70.it sound like engin,1,2023-01,2023
France,2023-01-23,4,en,ra,0,2023-01,2023
Germany,2024-05-25,5,en,top processor accept price,1,2024-05,2024
United States,2024-07-11,5,en,"far good, feel differ compar old 7700 processor bottleneck rtx360ti video card.",1,2024-07,2024
Sweden,2024-04-10,5,en,"twitch th gen (6600k) 12400f, feel signific improvement. especi daili task game work perfectly. got dark 6000mhz clay ram well, work without problem. combin 4060 ti, consum littl power get everyth need done far.i got noctua cooper though, work realli quiet cool. perfect price. 500sek cheaper version integr graphics, low profil pu case want simpl daili offic use.",1,2024-04,2024
Australia,2023-08-25,5,en,"price, performance, gazing?hi cpu beyond amazing, see price holi holi poorhous unbeliev price.",1,2023-08,2023
